Country,Region,Year,Crop_Type,Crop_Yield_Tonnes_per_Ha,Avg_Temperature_C,Annual_Rainfall_mm,Severe_Drought,Fertilizer_Usage_kg_ha,Pesticide_Usage_kg_ha,Food_Insecurity_Index
Bangladesh,South Asia,2004,Wheat,5.25,24.74,866.8,No,49.5,3.57,39.2
Pakistan,South Asia,2005,Potatoes,25.51,23.52,1008.5,No,244.2,1.98,43.8
Vietnam,Southeast Asia,2020,Maize (Corn),7.07,22.68,1483.5,No,50.5,6.04,26.8
Brazil,South America,2025,Maize (Corn),4.71,25.39,1453.1,Yes,99.7,4.86,45.4
Canada,North America,2022,Maize (Corn),7.7,17.64,1041.9,No,137.0,3.87,20.2
Sudan,Sub-Saharan Africa,2017,Cassava,15.95,25.75,988.4,No,95.7,2.93,61.2
India,South Asia,2021,Soybeans,4.47,26.42,817.3,Yes,163.4,3.64,62.2
Tanzania,Sub-Saharan Africa,2012,Rice,5.67,26.91,662.2,No,84.8,3.34,55.4
Bangladesh,South Asia,2007,Potatoes,24.07,22.58,923.4,No,123.6,0.84,43.7
Tanzania,Sub-Saharan Africa,2020,Maize (Corn),7.41,27.25,998.3,No,80.3,2.18,63.2
Mexico,North America,2013,Potatoes,23.14,13.59,900.9,No,64.7,2.25,18.5
Indonesia,Southeast Asia,2019,Rice,3.63,24.98,765.7,Yes,50.0,3.68,42.9
Ukraine,Europe,2004,Soybeans,3.83,15.69,1325.1,No,50.0,2.47,22.5
India,South Asia,2024,Rice,5.46,21.17,1195.8,No,73.2,1.06,36.3
Ethiopia,Sub-Saharan Africa,2025,Soybeans,6.16,26.91,598.7,No,188.0,2.51,50.0
France,Europe,2024,Soybeans,4.84,16.63,957.9,Yes,164.3,2.68,40.3
Bangladesh,South Asia,2012,Wheat,5.62,20.87,1050.5,No,106.5,0.92,38.0
Thailand,Southeast Asia,2005,Potatoes,23.09,22.32,1511.3,No,56.6,2.03,22.1
Nigeria,Sub-Saharan Africa,2019,Cassava,15.71,24.78,1120.3,No,80.7,3.39,64.5
Ukraine,Europe,2021,Wheat,4.89,15.53,533.7,No,58.7,1.63,26.5
Mexico,North America,2012,Maize (Corn),5.7,10.45,419.8,Yes,114.5,1.67,44.6
Ukraine,Europe,2020,Maize (Corn),8.44,12.61,1113.4,No,211.1,1.99,25.8
Uganda,Sub-Saharan Africa,2008,Soybeans,4.02,25.8,1021.8,No,76.2,2.52,57.1
Uganda,Sub-Saharan Africa,2011,Maize (Corn),7.53,28.64,828.2,No,109.7,1.76,65.2
Sudan,Sub-Saharan Africa,2021,Cassava,16.12,27.02,1274.0,No,129.4,1.53,59.3
Germany,Europe,2016,Soybeans,4.09,12.67,1086.5,No,42.6,4.47,21.0
Brazil,South America,2012,Rice,5.92,24.06,1318.2,No,83.8,1.67,20.3
Kenya,Sub-Saharan Africa,2003,Rice,5.74,25.26,842.4,No,56.9,4.28,55.4
United States,North America,2023,Rice,5.59,18.66,856.9,Yes,175.7,3.51,37.7
Mexico,North America,2022,Rice,6.15,14.39,1098.5,No,139.2,1.1,12.8
Turkey,Middle East & North Africa,2021,Soybeans,3.52,22.74,274.4,Yes,65.1,3.26,71.0
Nigeria,Sub-Saharan Africa,2016,Cassava,16.55,26.72,885.9,No,103.2,7.59,54.1
Ukraine,Europe,2022,Potatoes,24.05,13.56,887.9,No,113.8,0.81,33.3
Vietnam,Southeast Asia,2011,Soybeans,4.8,19.3,1545.6,No,114.2,2.49,19.2
Sudan,Sub-Saharan Africa,2007,Cassava,15.14,26.33,999.3,No,62.9,3.41,61.0
Turkey,Middle East & North Africa,2021,Wheat,4.39,20.11,150.0,Yes,119.3,1.88,51.8
Australia,Oceania,2005,Maize (Corn),7.13,21.24,1006.4,No,44.1,7.38,17.4
France,Europe,2003,Rice,4.79,17.22,1074.8,No,84.7,1.24,26.3
Germany,Europe,2003,Soybeans,4.24,14.86,992.2,No,81.3,2.4,24.6
Brazil,South America,2005,Potatoes,22.88,24.28,1271.6,No,67.0,2.32,25.0
Ukraine,Europe,2002,Rice,6.18,14.11,555.9,No,82.7,3.28,29.3
United States,North America,2009,Cassava,16.73,13.97,927.8,No,164.6,1.83,22.7
Indonesia,Southeast Asia,2017,Rice,6.16,23.23,996.8,No,81.7,3.59,23.4
Vietnam,Southeast Asia,2003,Wheat,5.23,20.1,1215.2,No,78.4,3.48,18.1
Sudan,Sub-Saharan Africa,2012,Maize (Corn),3.65,29.45,1217.7,Yes,51.9,3.46,86.2
Ukraine,Europe,2009,Wheat,5.43,12.85,893.8,No,109.0,1.07,20.0
China,East Asia,2024,Soybeans,4.11,21.89,923.4,No,72.6,2.75,22.4
Kenya,Sub-Saharan Africa,2014,Maize (Corn),7.17,28.04,687.5,No,31.5,4.69,63.0
Bangladesh,South Asia,2007,Cassava,14.82,21.95,741.3,No,70.9,1.86,48.5
Sudan,Sub-Saharan Africa,2009,Cassava,16.07,27.87,1042.4,No,138.8,4.3,59.4
Australia,Oceania,2022,Potatoes,23.31,22.57,907.6,No,46.4,1.42,21.9
Ukraine,Europe,2021,Maize (Corn),7.77,15.78,868.6,No,122.2,2.09,16.9
Uganda,Sub-Saharan Africa,2008,Soybeans,4.24,24.6,977.6,No,78.1,2.83,52.6
Pakistan,South Asia,2018,Soybeans,5.68,21.89,691.3,No,181.5,2.68,44.9
Egypt,Middle East & North Africa,2001,Rice,5.27,23.32,150.0,Yes,113.5,2.0,63.4
Mexico,North America,2011,Rice,5.6,15.63,768.9,No,77.2,3.78,27.7
Egypt,Middle East & North Africa,2016,Maize (Corn),7.3,20.83,514.0,No,78.2,2.55,47.9
Mexico,North America,2021,Potatoes,24.39,15.35,703.0,No,158.4,1.37,15.4
Ethiopia,Sub-Saharan Africa,2024,Rice,5.88,25.03,1427.9,No,101.8,0.93,60.4
Pakistan,South Asia,2009,Potatoes,23.47,24.55,991.8,No,107.4,3.32,48.4
Ukraine,Europe,2019,Soybeans,4.33,14.55,1013.1,No,52.3,3.93,15.5
Argentina,South America,2006,Potatoes,24.32,22.6,889.7,No,132.2,2.47,29.5
Argentina,South America,2000,Maize (Corn),7.71,19.93,994.5,No,139.2,2.82,16.0
India,South Asia,2011,Soybeans,4.45,22.38,1018.7,No,71.1,2.76,47.8
Indonesia,Southeast Asia,2015,Potatoes,25.19,20.9,1484.6,No,189.9,1.27,27.8
Thailand,Southeast Asia,2005,Maize (Corn),7.01,22.85,1429.5,No,64.4,2.31,20.6
Bangladesh,South Asia,2007,Soybeans,4.22,23.55,1588.7,No,102.1,1.62,43.2
Vietnam,Southeast Asia,2001,Cassava,15.87,19.75,1892.7,No,138.6,2.57,27.0
Thailand,Southeast Asia,2006,Maize (Corn),5.07,24.56,1058.5,Yes,127.3,2.35,43.1
Thailand,Southeast Asia,2010,Soybeans,5.78,24.61,1450.8,No,170.0,3.58,10.1
Uganda,Sub-Saharan Africa,2018,Cassava,15.78,28.42,949.7,No,87.6,1.52,54.3
Indonesia,Southeast Asia,2009,Wheat,4.58,26.35,1237.6,No,101.4,3.39,22.4
Kenya,Sub-Saharan Africa,2001,Potatoes,23.07,27.35,977.1,No,63.9,1.93,55.0
Canada,North America,2010,Maize (Corn),6.61,12.55,1165.4,No,63.8,2.85,34.3
Turkey,Middle East & North Africa,2025,Cassava,16.0,20.51,669.1,No,145.2,0.2,36.2
Pakistan,South Asia,2000,Potatoes,23.8,20.18,704.2,No,87.3,0.66,46.5
Pakistan,South Asia,2021,Wheat,4.45,25.15,781.3,No,71.5,1.95,41.6
Nigeria,Sub-Saharan Africa,2000,Rice,5.33,27.45,843.6,No,68.3,3.52,56.5
Sudan,Sub-Saharan Africa,2020,Wheat,4.89,28.12,1080.6,No,46.5,2.43,50.2
Nigeria,Sub-Saharan Africa,2009,Potatoes,24.3,26.89,1147.8,No,169.9,1.8,60.7
Mexico,North America,2005,Maize (Corn),7.07,13.06,1207.6,No,79.3,2.05,22.5
United States,North America,2007,Potatoes,24.57,14.26,1373.9,No,119.0,7.6,26.3
Nigeria,Sub-Saharan Africa,2000,Soybeans,4.75,23.59,1177.9,No,127.7,0.58,57.1
Argentina,South America,2003,Wheat,5.59,23.46,1029.8,No,142.3,2.84,16.6
Mexico,North America,2007,Wheat,4.65,17.47,1188.2,No,95.8,3.65,26.8
Egypt,Middle East & North Africa,2017,Potatoes,13.73,24.69,433.6,Yes,56.7,8.01,74.3
Ukraine,Europe,2023,Soybeans,5.55,12.17,524.5,No,148.1,1.68,21.0
Canada,North America,2016,Potatoes,25.52,13.65,1469.4,No,176.6,4.89,28.1
Ukraine,Europe,2007,Cassava,14.84,16.74,657.8,No,54.9,0.52,20.0
Sudan,Sub-Saharan Africa,2012,Maize (Corn),6.88,25.51,1129.0,No,91.8,1.68,64.6
Australia,Oceania,2007,Rice,4.88,21.81,1560.4,No,69.3,1.96,25.5
France,Europe,2005,Wheat,4.85,13.84,1030.0,No,69.3,2.15,24.3
Germany,Europe,2016,Rice,5.4,13.04,867.9,No,47.6,4.16,18.8
South Africa,Sub-Saharan Africa,2018,Rice,5.38,27.52,1255.3,No,60.8,1.17,53.9
France,Europe,2024,Rice,4.81,18.78,1282.8,No,102.2,1.52,25.6
Tanzania,Sub-Saharan Africa,2008,Soybeans,5.17,23.46,1320.0,No,131.5,1.94,43.5
Nigeria,Sub-Saharan Africa,2019,Potatoes,23.91,27.08,985.4,No,125.6,1.39,58.0
Australia,Oceania,2002,Maize (Corn),7.29,21.37,609.3,No,83.2,4.04,24.3
Pakistan,South Asia,2022,Potatoes,23.06,20.11,601.6,No,59.5,1.89,46.7
Egypt,Middle East & North Africa,2002,Cassava,10.13,20.84,155.1,Yes,130.4,5.61,67.6
Tanzania,Sub-Saharan Africa,2003,Wheat,5.58,24.99,1212.8,No,112.1,1.74,57.5
Germany,Europe,2015,Rice,5.9,15.07,1003.2,No,75.9,4.24,18.5
Sudan,Sub-Saharan Africa,2024,Cassava,14.85,27.24,849.2,No,63.2,1.48,58.6
Thailand,Southeast Asia,2007,Cassava,16.28,21.57,1573.0,No,121.2,3.88,21.6
United States,North America,2002,Maize (Corn),7.5,13.71,1401.6,No,146.4,2.03,24.1
Brazil,South America,2008,Potatoes,23.05,21.91,466.2,No,75.9,1.47,18.6
France,Europe,2014,Cassava,16.58,16.18,853.9,No,141.2,3.63,25.0
Canada,North America,2012,Wheat,5.05,15.11,934.8,No,106.0,3.01,23.4
Uganda,Sub-Saharan Africa,2013,Cassava,14.22,28.41,1003.7,No,38.9,1.73,62.3
Turkey,Middle East & North Africa,2016,Maize (Corn),7.76,21.77,650.6,No,135.6,3.68,36.6
Egypt,Middle East & North Africa,2001,Wheat,5.04,26.81,719.7,No,99.9,3.99,36.3
Brazil,South America,2017,Potatoes,23.94,22.35,981.9,No,130.7,2.23,24.5
France,Europe,2023,Rice,4.79,14.24,923.4,No,66.5,1.88,30.8
Sudan,Sub-Saharan Africa,2018,Cassava,15.54,26.77,959.3,No,70.3,1.81,63.1
Brazil,South America,2016,Cassava,15.08,21.36,706.2,No,44.4,5.65,30.9
Indonesia,Southeast Asia,2021,Wheat,5.11,21.94,1204.5,No,103.9,1.48,14.0
Thailand,Southeast Asia,2019,Maize (Corn),7.34,20.55,1553.2,No,75.0,4.27,27.8
Tanzania,Sub-Saharan Africa,2002,Cassava,16.23,26.91,727.2,No,101.4,3.21,56.9
Thailand,Southeast Asia,2015,Rice,5.97,23.0,1314.6,No,95.7,2.6,20.9
Germany,Europe,2009,Rice,4.7,17.2,891.2,Yes,191.0,0.86,42.2
India,South Asia,2012,Rice,6.19,23.68,854.3,No,119.5,2.39,38.2
Sudan,Sub-Saharan Africa,2022,Cassava,11.52,27.36,366.7,Yes,170.0,0.26,86.8
France,Europe,2006,Maize (Corn),7.79,15.22,1012.0,No,101.7,5.59,25.2
Turkey,Middle East & North Africa,2009,Wheat,6.23,25.72,618.1,No,129.9,3.0,34.7
France,Europe,2001,Rice,5.0,15.15,1033.3,No,77.8,0.27,30.2
Uganda,Sub-Saharan Africa,2015,Potatoes,22.97,27.03,799.0,No,75.1,0.84,54.1
Ethiopia,Sub-Saharan Africa,2016,Soybeans,4.03,26.56,993.3,No,57.4,1.25,53.3
Turkey,Middle East & North Africa,2009,Rice,4.34,21.96,325.7,Yes,110.8,0.77,63.3
Nigeria,Sub-Saharan Africa,2025,Maize (Corn),7.44,23.99,914.2,No,90.6,4.25,59.6
Turkey,Middle East & North Africa,2000,Soybeans,3.97,21.54,151.0,Yes,117.0,1.6,52.3
Brazil,South America,2021,Potatoes,24.87,24.73,811.0,No,181.9,2.38,19.6
Ethiopia,Sub-Saharan Africa,2010,Cassava,15.39,27.28,1007.4,No,90.1,1.29,46.8
China,East Asia,2011,Cassava,15.34,23.72,1187.4,No,56.0,2.5,24.4
Brazil,South America,2009,Rice,6.06,21.75,1190.1,No,115.3,3.51,26.8
Brazil,South America,2015,Cassava,14.93,23.97,1050.5,No,46.9,2.3,27.9
Australia,Oceania,2007,Maize (Corn),7.65,24.23,1241.1,No,118.5,2.45,16.7
Sudan,Sub-Saharan Africa,2004,Potatoes,24.06,25.71,988.8,No,117.0,0.52,54.3
Sudan,Sub-Saharan Africa,2009,Cassava,15.39,28.31,962.3,No,78.4,4.21,68.7
Ukraine,Europe,2009,Rice,5.98,16.68,1091.6,No,110.0,3.17,21.8
Uganda,Sub-Saharan Africa,2008,Soybeans,5.14,22.61,553.5,No,133.3,1.6,50.4
Argentina,South America,2017,Cassava,13.61,25.08,1060.9,No,93.5,0.6,17.0
Sudan,Sub-Saharan Africa,2025,Cassava,16.13,26.42,984.6,No,154.2,1.81,55.2
Pakistan,South Asia,2017,Wheat,6.89,21.18,827.9,No,179.3,3.89,33.3
China,East Asia,2019,Wheat,5.8,23.12,473.8,No,125.4,0.99,20.7
Canada,North America,2018,Maize (Corn),7.15,13.2,1371.1,No,67.0,7.41,24.6
Vietnam,Southeast Asia,2025,Rice,7.66,22.41,1576.8,No,155.4,11.1,15.6
Thailand,Southeast Asia,2011,Wheat,4.74,21.28,1618.4,No,39.5,2.55,25.0
Kenya,Sub-Saharan Africa,2010,Rice,7.0,28.46,1006.3,No,147.4,6.81,51.7
Ukraine,Europe,2010,Potatoes,23.09,15.14,1012.6,No,56.7,4.31,30.1
Mexico,North America,2020,Soybeans,3.24,16.83,641.2,Yes,92.8,1.76,43.0
South Africa,Sub-Saharan Africa,2003,Cassava,14.7,26.96,1049.6,No,20.7,3.45,54.7
China,East Asia,2001,Cassava,15.12,22.56,675.3,No,59.2,6.0,28.9
Indonesia,Southeast Asia,2018,Potatoes,22.49,21.66,1214.7,No,56.3,1.62,33.9
Australia,Oceania,2010,Rice,6.98,24.79,1236.5,No,182.9,1.45,20.3
Egypt,Middle East & North Africa,2006,Wheat,3.92,21.66,402.2,Yes,103.3,3.25,70.1
Brazil,South America,2008,Wheat,5.66,21.24,566.2,No,106.5,3.67,18.0
Vietnam,Southeast Asia,2022,Rice,6.2,24.84,1464.1,No,87.8,3.55,24.1
Thailand,Southeast Asia,2021,Wheat,5.99,22.67,1162.3,No,123.0,2.3,18.8
Australia,Oceania,2017,Wheat,5.32,24.36,1060.7,No,95.7,4.79,28.4
Sudan,Sub-Saharan Africa,2009,Rice,5.01,25.56,853.2,No,63.8,2.35,52.2
Turkey,Middle East & North Africa,2020,Cassava,16.12,22.91,571.6,No,125.7,2.73,45.6
Ukraine,Europe,2023,Cassava,14.67,11.78,910.0,No,23.5,4.63,24.8
Australia,Oceania,2015,Soybeans,4.41,23.92,952.7,No,104.3,3.72,18.1
India,South Asia,2002,Potatoes,23.86,19.25,850.4,No,62.0,5.31,43.4
South Africa,Sub-Saharan Africa,2018,Cassava,10.61,28.68,749.8,Yes,101.3,0.95,84.9
Brazil,South America,2016,Maize (Corn),7.32,21.86,1054.6,No,114.0,2.06,22.9
Tanzania,Sub-Saharan Africa,2004,Cassava,16.49,25.89,1019.1,No,160.7,2.62,49.9
Ethiopia,Sub-Saharan Africa,2023,Soybeans,4.93,24.8,994.3,No,159.3,0.38,49.4
Pakistan,South Asia,2021,Soybeans,5.31,24.24,1073.2,No,146.9,2.5,33.7
France,Europe,2005,Soybeans,4.81,16.76,1084.3,Yes,149.7,0.7,38.3
Kenya,Sub-Saharan Africa,2010,Rice,5.45,28.06,814.1,No,78.7,1.47,58.6
Kenya,Sub-Saharan Africa,2004,Rice,8.34,25.08,971.3,No,225.1,6.56,50.8
Pakistan,South Asia,2005,Rice,6.91,24.07,1032.5,No,181.4,2.59,30.5
United States,North America,2021,Cassava,14.97,13.5,808.4,No,54.8,1.08,22.3
Nigeria,Sub-Saharan Africa,2008,Rice,5.55,25.1,803.7,No,68.7,0.97,50.7
Kenya,Sub-Saharan Africa,2007,Wheat,4.95,24.67,1005.9,No,53.6,2.0,53.0
Vietnam,Southeast Asia,2025,Maize (Corn),8.76,24.28,1125.4,No,151.8,2.31,14.9
Ukraine,Europe,2002,Maize (Corn),6.7,10.54,982.6,No,101.5,0.6,22.1
Ukraine,Europe,2001,Potatoes,22.96,13.95,837.6,No,35.1,2.88,23.9
Argentina,South America,2005,Cassava,16.72,20.64,1097.9,No,145.6,4.0,21.6
Mexico,North America,2006,Potatoes,20.38,18.02,949.4,No,81.7,5.11,43.7
Ukraine,Europe,2015,Wheat,5.97,11.96,1023.8,No,113.0,1.46,18.5
Australia,Oceania,2005,Maize (Corn),6.5,21.47,1242.2,No,114.8,1.94,23.5
United States,North America,2019,Potatoes,23.51,12.53,515.1,No,105.6,1.15,40.9
Pakistan,South Asia,2024,Wheat,5.72,24.9,1081.2,No,99.6,6.24,39.4
Indonesia,Southeast Asia,2009,Potatoes,23.85,24.41,1226.4,No,123.8,0.73,31.0
Australia,Oceania,2025,Potatoes,23.85,23.95,702.2,No,109.3,4.59,30.8
Ukraine,Europe,2020,Maize (Corn),6.76,15.28,1047.6,No,54.1,3.83,20.5
Pakistan,South Asia,2020,Cassava,16.1,19.16,1130.0,No,98.4,0.87,45.3
Ethiopia,Sub-Saharan Africa,2025,Cassava,8.03,31.04,1157.3,Yes,120.4,4.59,86.2
Argentina,South America,2000,Potatoes,23.83,22.12,504.9,No,90.7,3.25,28.4
Nigeria,Sub-Saharan Africa,2006,Rice,6.64,27.66,670.2,No,146.7,4.75,54.6
Uganda,Sub-Saharan Africa,2002,Cassava,15.84,24.61,540.8,No,102.6,4.64,58.1
Tanzania,Sub-Saharan Africa,2000,Soybeans,4.24,29.71,938.0,No,123.3,2.05,57.7
Ukraine,Europe,2012,Rice,6.45,12.17,834.8,No,136.8,1.99,15.6
South Africa,Sub-Saharan Africa,2001,Wheat,4.64,27.26,1316.7,No,50.7,3.67,50.5
Sudan,Sub-Saharan Africa,2006,Maize (Corn),7.68,25.85,1044.9,No,105.3,4.02,55.4
Ukraine,Europe,2023,Wheat,9.21,16.42,490.4,No,263.1,9.55,16.5
Nigeria,Sub-Saharan Africa,2003,Potatoes,25.16,25.24,1218.6,No,214.8,3.58,61.9
Thailand,Southeast Asia,2020,Rice,5.22,23.56,706.4,No,53.8,2.22,23.0
India,South Asia,2025,Maize (Corn),7.68,21.04,1148.6,No,99.4,2.29,33.9
Pakistan,South Asia,2022,Cassava,15.32,23.12,755.8,No,59.2,2.4,37.0
Brazil,South America,2017,Soybeans,5.39,23.42,892.2,No,134.5,5.92,18.3
France,Europe,2024,Rice,5.5,14.66,997.4,No,71.0,2.78,19.7
India,South Asia,2019,Soybeans,4.46,22.77,1164.7,No,107.8,1.96,35.2
France,Europe,2002,Soybeans,4.12,12.9,747.1,No,62.4,2.26,23.6
United States,North America,2001,Wheat,6.34,14.42,703.9,No,131.5,2.59,25.6
Vietnam,Southeast Asia,2001,Wheat,4.5,20.94,1449.1,No,27.4,3.69,31.1
Vietnam,Southeast Asia,2025,Soybeans,3.86,21.24,1609.1,No,96.9,2.1,19.6
Bangladesh,South Asia,2024,Rice,6.44,24.65,1260.7,No,117.6,2.88,36.0
Ethiopia,Sub-Saharan Africa,2018,Wheat,5.34,26.07,1098.6,No,100.8,2.53,55.2
Turkey,Middle East & North Africa,2004,Rice,7.01,23.24,501.2,No,205.3,1.68,45.6
Pakistan,South Asia,2025,Wheat,5.84,21.08,907.8,No,77.1,4.06,43.2
Egypt,Middle East & North Africa,2022,Wheat,5.03,21.61,400.8,Yes,159.3,2.36,66.0
Bangladesh,South Asia,2024,Rice,6.31,21.32,1476.8,No,126.3,1.56,42.0
China,East Asia,2005,Maize (Corn),7.29,21.62,929.8,No,141.4,1.98,20.1
Kenya,Sub-Saharan Africa,2002,Potatoes,24.58,27.56,709.3,No,149.7,4.03,55.5
Ukraine,Europe,2021,Maize (Corn),6.25,16.46,1232.6,No,64.7,1.58,19.0
Sudan,Sub-Saharan Africa,2005,Rice,5.4,25.71,1216.0,No,60.1,3.19,57.0
Sudan,Sub-Saharan Africa,2003,Soybeans,5.39,26.55,805.3,No,160.8,1.12,45.4
Sudan,Sub-Saharan Africa,2004,Cassava,17.48,26.31,940.5,No,154.4,9.51,57.6
Pakistan,South Asia,2020,Potatoes,24.19,23.48,916.8,No,118.4,3.13,41.3
Indonesia,Southeast Asia,2024,Wheat,6.09,23.23,1730.3,No,114.1,2.02,24.8
China,East Asia,2006,Cassava,18.03,23.62,793.9,No,209.1,2.83,29.2
Pakistan,South Asia,2013,Wheat,4.94,22.06,978.6,No,58.7,2.93,43.7
France,Europe,2016,Soybeans,5.08,14.84,632.5,No,105.1,3.97,14.4
France,Europe,2022,Potatoes,23.42,14.43,1013.6,No,88.5,5.08,28.4
Germany,Europe,2006,Potatoes,23.43,10.31,1220.8,No,96.8,1.73,26.7
Germany,Europe,2005,Maize (Corn),7.23,14.66,933.3,No,82.3,6.11,19.0
Turkey,Middle East & North Africa,2025,Maize (Corn),6.84,22.06,484.3,No,50.6,2.21,42.0
Canada,North America,2001,Wheat,4.46,11.6,1006.1,No,34.3,1.71,19.4
Uganda,Sub-Saharan Africa,2025,Cassava,7.48,31.28,864.6,Yes,92.1,4.45,96.5
France,Europe,2017,Cassava,15.15,14.32,946.6,No,44.3,4.45,31.4
Turkey,Middle East & North Africa,2022,Soybeans,4.45,22.2,654.2,No,106.2,1.26,44.3
Canada,North America,2021,Soybeans,3.43,12.12,996.7,No,27.3,3.79,25.7
Sudan,Sub-Saharan Africa,2017,Cassava,15.67,27.39,931.0,No,117.6,2.0,58.6
Vietnam,Southeast Asia,2020,Wheat,4.61,26.02,1379.3,Yes,119.1,8.35,45.9
Australia,Oceania,2017,Rice,6.18,20.19,986.7,No,95.3,1.78,16.0
Ukraine,Europe,2001,Rice,5.9,14.46,965.6,No,82.9,7.23,21.6
Tanzania,Sub-Saharan Africa,2023,Potatoes,23.44,26.25,1251.5,No,61.1,3.83,57.0
Bangladesh,South Asia,2006,Soybeans,3.6,23.14,1137.4,No,62.1,2.3,41.6
Ukraine,Europe,2007,Potatoes,23.41,13.1,875.2,No,81.2,1.8,20.2
Pakistan,South Asia,2006,Cassava,16.03,19.12,1017.0,No,163.5,1.4,36.7
Egypt,Middle East & North Africa,2019,Rice,6.72,23.14,492.4,No,181.2,1.2,43.0
Ethiopia,Sub-Saharan Africa,2017,Maize (Corn),6.91,25.09,844.6,No,98.7,1.89,52.1
Egypt,Middle East & North Africa,2018,Soybeans,4.17,20.55,581.9,No,86.3,4.87,43.7
China,East Asia,2014,Wheat,4.92,22.04,970.7,No,48.8,1.51,21.7
Bangladesh,South Asia,2018,Potatoes,23.0,23.5,767.6,No,52.8,2.63,40.1
Ethiopia,Sub-Saharan Africa,2017,Maize (Corn),7.27,26.81,919.2,No,79.9,3.18,51.7
Vietnam,Southeast Asia,2002,Maize (Corn),6.3,24.09,1261.5,No,43.1,5.66,22.5
Mexico,North America,2019,Cassava,15.22,16.81,721.1,No,34.3,5.18,31.5
Ukraine,Europe,2019,Wheat,4.21,16.59,782.8,No,60.3,2.22,29.1
Argentina,South America,2023,Wheat,5.25,28.52,1037.3,Yes,150.8,3.03,41.7
Tanzania,Sub-Saharan Africa,2025,Wheat,5.64,28.85,811.1,No,95.2,2.64,55.9
Brazil,South America,2023,Wheat,6.04,23.64,973.0,No,131.7,4.53,17.9
Egypt,Middle East & North Africa,2004,Soybeans,5.12,22.17,727.1,No,128.6,2.28,39.4
Vietnam,Southeast Asia,2018,Wheat,6.72,24.34,1335.7,No,182.5,0.66,16.3
Turkey,Middle East & North Africa,2000,Soybeans,5.06,22.24,596.3,No,150.7,0.54,37.2
Canada,North America,2015,Wheat,6.13,15.11,868.6,No,127.5,4.14,26.0
Turkey,Middle East & North Africa,2006,Wheat,4.24,21.54,150.0,Yes,94.7,0.96,57.5
France,Europe,2025,Wheat,4.88,14.6,1092.9,No,62.6,1.45,18.1
South Africa,Sub-Saharan Africa,2013,Cassava,9.34,29.26,703.3,Yes,53.2,4.41,87.5
Tanzania,Sub-Saharan Africa,2024,Cassava,17.41,26.02,718.0,No,201.6,4.19,50.5
Turkey,Middle East & North Africa,2022,Soybeans,6.27,21.46,533.0,No,213.1,0.77,40.3
Kenya,Sub-Saharan Africa,2007,Potatoes,12.54,30.27,829.8,Yes,91.6,10.16,98.0
Kenya,Sub-Saharan Africa,2009,Potatoes,24.5,25.3,699.6,No,141.2,4.26,58.9
Pakistan,South Asia,2006,Wheat,6.07,20.14,881.6,No,121.1,2.57,41.6
Pakistan,South Asia,2011,Wheat,5.37,23.96,1041.4,No,101.6,4.78,38.1
South Africa,Sub-Saharan Africa,2004,Potatoes,13.12,30.23,843.8,Yes,132.2,4.95,84.0
Turkey,Middle East & North Africa,2004,Wheat,6.39,22.92,660.8,No,156.2,4.96,44.5
Nigeria,Sub-Saharan Africa,2000,Soybeans,4.4,24.41,1301.0,No,71.4,1.21,49.6
Ukraine,Europe,2004,Cassava,17.17,16.37,753.3,No,211.7,0.45,21.3
Bangladesh,South Asia,2024,Maize (Corn),7.69,24.12,1013.4,No,148.1,2.61,45.8
Ukraine,Europe,2024,Maize (Corn),7.08,11.64,842.8,No,79.5,4.88,21.1
Vietnam,Southeast Asia,2007,Wheat,6.23,26.57,1606.8,No,167.1,2.79,21.5
Vietnam,Southeast Asia,2025,Maize (Corn),8.58,21.93,1435.4,No,210.3,3.28,19.9
Tanzania,Sub-Saharan Africa,2005,Cassava,9.0,31.48,681.7,Yes,74.3,3.47,87.0
India,South Asia,2017,Potatoes,20.12,26.7,728.2,No,60.0,6.89,47.7
Vietnam,Southeast Asia,2019,Potatoes,23.89,21.25,1551.2,No,140.1,2.32,16.3
Canada,North America,2010,Rice,5.74,12.93,666.5,No,64.9,1.94,19.1
Sudan,Sub-Saharan Africa,2023,Potatoes,21.36,29.25,833.3,No,108.9,4.47,66.9
Ukraine,Europe,2025,Cassava,15.74,15.63,1081.0,No,78.0,2.62,19.5
United States,North America,2009,Soybeans,4.75,13.21,1114.8,No,121.7,4.87,27.7
Egypt,Middle East & North Africa,2016,Rice,4.88,25.47,714.2,No,33.7,1.98,45.7
Bangladesh,South Asia,2003,Potatoes,23.09,16.91,928.7,No,79.9,1.91,48.3
South Africa,Sub-Saharan Africa,2015,Potatoes,23.21,26.11,1258.4,No,101.7,1.42,58.1
Uganda,Sub-Saharan Africa,2023,Rice,6.25,27.72,716.0,No,119.6,1.35,52.3
Ethiopia,Sub-Saharan Africa,2002,Soybeans,4.23,25.95,1232.9,No,66.3,0.67,54.0
Sudan,Sub-Saharan Africa,2008,Rice,5.76,24.51,705.9,No,80.9,2.11,54.4
Brazil,South America,2003,Potatoes,23.04,20.22,1057.0,No,71.1,0.6,15.3
India,South Asia,2019,Soybeans,4.78,23.49,1038.8,No,102.1,5.56,29.0
Turkey,Middle East & North Africa,2022,Soybeans,3.66,21.75,526.8,No,95.1,1.56,35.0
